employee_id,company,department,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,Gender,Resting_Heart_Rate
1,Glasses,Search Engine,30,29,2,93265.04394,24792.91,2,Male,65.7
7,Cheerper,BigData,41,37,4,95463.68057,18854.90825,2,Male,76.7
36,Glasses,AI,44,41,4,99278.13715,18677.43715,2,Male,68.9
49,Glasses,Design,46,43,4,66945.91375,22358.01358,1,Female,62.2
41,Glasses,BigData,30,24,5,40000,23314.23139,2,Female,73
1,Glasses,AI,30,22,8,110570.7121,22093.52199,1,Female,76.2
6,Cheerper,BigData,30,22,5,88731.54539,24792.91,2,Female,67.7
8,Glasses,AI,45,38,7,99422.48138,17636.98236,2,Female,70.2
1,Cheerper,Support,38,32,6,104722.8973,15127.34699,3,Female,69.1
41,Cheerper,AI,30,22,9,92883.28914,18571.36743,2,Female,71.2
1,Glasses,Design,30,24,5,143174.7048,24792.91,1,Male,77.2
28,Cheerper,Search Engine,30,23,7,81701.16203,20680.57281,3,Female,71.7
15,Glasses,AI,44,42,2,124574.5962,21292.32532,1,Male,75.7
10,Glasses,BigData,31,27,5,70511.28919,24711.81563,1,Female,66.9
21,Glasses,Search Engine,30,24,6,85925.90612,19284.87186,2,Male,70.1
1,Glasses,Design,30,22,8,90114.44964,18108.01338,2,Male,77.4
4,Pear,Sales,38,33,6,83250.19474,16171.56747,3,Male,68.4
27,Pear,Sales,41,39,2,113894.2863,24792.91,1,Male,76.4
61,Glasses,AI,30,26,4,65175.27416,9000,5,Male,68.3
36,Cheerper,Support,35,27,8,54272.33764,17672.84189,2,Female,71.2
26,Glasses,AI,35,28,8,96180.03003,21368.78681,2,Female,81.2
56,Glasses,AI,47,43,4,72063.16185,16080.35712,3,Female,70.1
80,Cheerper,Support,35,25,9,40000,9000,4,Male,73.9
31,Glasses,Search Engine,35,30,6,109050.6766,9000,5,Female,75.3
46,Cheerper,BigData,43,35,7,54285.08756,17816.50512,2,Female,74.1
19,Glasses,AI,34,31,3,108545.7946,24470.90042,2,Male,72.6
1,Cheerper,Search Engine,32,22,9,87123.77858,14463.21342,3,Female,72.7
30,Pear,Design,46,40,6,107958.934,19917.73563,2,Female,66.3
46,Pear,AI,32,29,3,49619.96214,13928.65447,4,Male,72.9
76,Cheerper,Support,49,48,2,40000,23904.6499,2,Male,68.1
4,Cheerper,Support,30,22,8,67869.00681,24792.91,1,Male,76.5
51,Cheerper,Support,31,28,3,40000,11442.71691,4,Male,78
29,Glasses,Search Engine,37,32,5,100042.5528,24792.91,2,Male,63
45,Pear,Sales,44,45,1,108660.4719,13740.78168,3,Male,78.1
28,Cheerper,BigData,37,29,8,40000,20436.49837,1,Male,70.9
1,Glasses,Search Engine,31,23,8,106224.5724,24718.7401,1,Female,72
16,Cheerper,BigData,37,30,8,88315.50716,14716.86395,3,Male,68.4
11,Glasses,AI,33,30,3,91692.10916,21471.5932,2,Female,72.2
21,Cheerper,Support,46,37,9,83395.08537,16596.98787,2,Female,74
30,Glasses,Search Engine,45,39,6,80287.19114,18719.92324,2,Female,78.1
1,Cheerper,Support,34,27,7,94372.9971,24589.34408,1,Female,68.8
1,Glasses,Search Engine,46,43,3,126732.7597,18099.33817,2,Male,80.2
36,Glasses,AI,38,34,5,89259.27102,22863.8304,2,Female,75.4
70,Glasses,AI,38,41,1,69909.04331,16393.49628,4,Male,71.3
63,Pear,Design,45,42,3,53854.8496,16312.80371,3,Male,70.9
35,Pear,Design,40,43,1,125982.203,10783.77979,4,Male,69.5
67,Glasses,Search Engine,37,38,1,72323.51262,15555.96838,5,Female,69.6
22,Pear,Sales,44,40,4,89256.73395,24792.91,1,Female,72.9
30,Cheerper,BigData,36,26,9,63082.79955,15230.41022,3,Female,72.1
20,Cheerper,BigData,47,46,1,107702.4093,12950.43401,3,Male,68.1
80,Cheerper,Support,30,22,9,40000,13228.91579,4,Male,73.8
11,Cheerper,Support,31,22,9,58791.48418,19103.18077,3,Male,68.8
46,Pear,Design,42,46,1,115849.8528,22771.19889,2,Male,72.7
1,Cheerper,BigData,38,27,9,81985.45504,13234.42556,1,Female,72.2
32,Cheerper,Support,30,22,8,64401.31044,24792.91,3,Female,76.1
23,Glasses,Search Engine,30,25,3,83281.79945,22011.54993,3,Female,76
12,Pear,Design,39,37,2,128263.1089,15712.24018,3,Male,76.2
38,Pear,Sales,47,42,5,116901.8817,16349.89515,3,Male,74.1
45,Pear,Sales,32,28,4,52767.48076,24792.91,1,Male,73.7
5,Cheerper,BigData,35,29,6,77884.99493,14744.60159,4,Male,70.6
40,Glasses,AI,46,45,1,122757.9115,14999.44895,4,Male,74.7
48,Glasses,Design,37,34,3,88090.36254,18696.07197,2,Female,75.4
34,Cheerper,BigData,44,38,6,82863.03796,16857.28275,2,Male,64.9
22,Cheerper,BigData,42,36,6,79480.58088,24792.91,1,Male,74.5
8,Pear,AI,31,27,4,74989.03586,24047.60713,1,Male,78.3
28,Glasses,Search Engine,39,30,8,61995.14571,18141.88077,2,Male,71.3
72,Pear,Design,45,42,3,46355.42126,15424.61863,2,Female,69
63,Pear,Sales,47,46,2,94987.44609,18295.86261,2,Male,69.5
52,Glasses,Search Engine,38,39,1,40000,16295.1875,4,Male,63.4
35,Glasses,AI,36,31,5,83083.13054,10806.45182,4,Male,72.6
6,Glasses,AI,30,26,4,118386.7386,22937.66091,3,Female,71.5
20,Pear,Design,41,40,1,115033.5318,19230.31249,3,Male,72
52,Pear,Design,36,35,1,88028.29873,16946.42978,3,Male,72.9
6,Glasses,Design,39,34,5,104176.4762,20691.27208,1,Female,68.2
9,Glasses,Search Engine,30,22,8,101312.0446,19295.4767,3,Male,74
57,Glasses,AI,40,41,1,73130.19141,17463.72257,3,Male,73.2
49,Cheerper,Support,35,34,2,76193.75467,17302.95275,5,Male,68.6
80,Glasses,Search Engine,49,48,2,46321.27212,22585.60695,1,Male,73.8
1,Cheerper,AI,40,31,9,148934.5869,22207.12509,1,Male,73.8
25,Cheerper,Support,41,34,7,63755.95035,20349.52462,1,Male,69.7
51,Glasses,Search Engine,39,32,7,66503.6822,9892.236279,5,Female,74.2
1,Pear,Design,31,22,8,125567.1067,21018.21287,2,Male,71.2
39,Pear,Design,49,48,1,114783.6985,24598.39314,1,Male,74.9
37,Cheerper,BigData,49,48,1,87379.25338,17385.10912,2,Female,70.2
69,Glasses,BigData,48,48,1,69363.73609,9000,5,Male,64.9
70,Cheerper,Support,38,37,1,40000,21440.71476,3,Female,72.2
1,Glasses,Search Engine,30,22,9,90279.28895,12051.83618,4,Female,74
25,Glasses,Design,31,22,9,89853.59037,20998.6708,1,Female,67.5
35,Glasses,Design,35,26,9,96590.35959,14872.40993,4,Female,76.9
18,Cheerper,BigData,30,22,9,48692.06956,20561.19221,2,Female,76.4
1,Cheerper,Search Engine,33,26,7,108144.3257,23062.35894,2,Male,68.1
32,Glasses,AI,42,44,1,97880.06192,24792.91,2,Male,67.8
27,Cheerper,Support,32,26,6,52049.62283,17338.55255,4,Female,71.4
7,Glasses,AI,38,33,5,79103.84526,20788.31261,2,Female,68.3
37,Glasses,BigData,34,30,4,75574.39029,23809.62639,3,Female,74.8
27,Glasses,AI,49,48,1,124974.8138,23699.70147,1,Female,72.2
55,Pear,Sales,41,37,4,100690.5917,24792.91,1,Male,66.5
42,Glasses,Search Engine,32,27,6,58747.21423,22170.11874,1,Male,68
55,Glasses,Search Engine,35,31,4,42584.45323,12983.3346,5,Female,77.6
21,Pear,Design,30,24,5,73987.8233,22171.01204,2,Female,79.4
1,Glasses,Search Engine,30,22,6,95776.39966,24792.91,1,Female,74.7
46,Pear,Sales,41,43,1,114098.7384,17456.932,3,Female,70
46,Glasses,AI,49,48,2,96508.69389,11903.1654,4,Female,69.5
43,Glasses,Search Engine,41,40,1,86820.3456,14420.76796,4,Female,73.8
40,Glasses,Search Engine,44,41,2,54455.7164,17959.27835,3,Female,71.9
1,Pear,Sales,30,22,9,141689.0274,24792.91,1,Female,64.8
13,Glasses,AI,31,26,5,66261.45404,24392.22048,1,Female,76.9
1,Cheerper,BigData,33,30,3,96427.10833,15078.35446,4,Male,78
17,Glasses,Design,42,34,8,107975.5955,17306.10723,2,Male,76.9
38,Glasses,AI,31,25,6,100850.9599,22282.21313,3,Female,66.6
50,Pear,Sales,32,26,6,55948.09587,24792.91,1,Female,68.9
20,Glasses,BigData,35,30,5,61676.07759,21320.56106,2,Female,62.7
25,Pear,Design,36,35,1,109606.8975,24382.79989,2,Male,78.8
38,Glasses,Search Engine,37,31,6,79060.35936,17827.39012,3,Male,70.6
53,Glasses,AI,35,29,6,68514.62909,17617.72783,1,Female,83.9
56,Glasses,Search Engine,40,38,3,59134.42024,17869.82565,2,Female,81.4
1,Pear,Design,36,30,6,103238.1745,23587.40007,1,Female,67.8
31,Cheerper,Search Engine,39,28,9,94420.39628,21753.46661,1,Male,69.8
42,Glasses,Search Engine,42,42,1,91128.61963,21878.67411,3,Male,73.4
38,Glasses,Search Engine,40,38,2,54495.635,15697.38245,3,Female,62.5
74,Glasses,Search Engine,49,48,1,72357.11453,9010.376635,4,Male,69.3
1,Cheerper,BigData,35,28,6,99907.41885,14064.08643,3,Male,69.6
1,Glasses,AI,30,22,6,129076.7706,20071.69714,2,Male,81.3
80,Pear,Design,47,48,1,71013.69712,12128.43949,4,Female,72.1
78,Cheerper,BigData,43,39,4,40000,12430.44016,4,Male,70.6
50,Glasses,Support,37,39,1,40000,24792.91,3,Male,67.7
19,Glasses,AI,49,44,5,82294.74584,18188.11555,1,Female,77.1
38,Cheerper,BigData,43,39,5,80986.78528,12403.72574,4,Male,69.9
1,Glasses,AI,30,22,8,110488.2594,24173.19364,1,Female,72.3
30,Glasses,AI,38,32,6,89942.60826,16073.63724,2,Male,69.2
80,Pear,Design,40,35,5,40000,11252.22154,5,Female,64.6
50,Cheerper,Support,44,36,7,48427.24625,18791.0058,3,Female,68
17,Cheerper,Support,34,25,9,88848.37716,11186.91917,5,Male,70.6
22,Cheerper,Search Engine,38,27,9,75301.57106,16056.18821,2,Female,72
49,Cheerper,BigData,30,24,7,42309.60646,17506.93609,3,Female,71.2
25,Cheerper,Support,32,28,4,74356.23425,17685.38569,3,Female,71.1
52,Glasses,AI,46,43,3,57541.07874,16570.86919,2,Male,69.5
1,Cheerper,BigData,33,26,7,89072.31692,18206.04215,2,Male,79.2
41,Glasses,AI,31,26,5,74476.73274,21895.60813,1,Female,76.5
1,Pear,Design,34,28,6,114491.9799,24792.91,1,Female,71.5
35,Glasses,Design,33,26,8,119921.2397,21602.2247,2,Male,74
43,Glasses,Search Engine,41,40,1,92757.94805,13430.67672,4,Male,69.2
54,Pear,Sales,38,33,5,76778.93633,20208.18793,1,Female,57.9
28,Pear,Sales,49,48,1,128884.966,15568.75824,3,Female,71.5
21,Cheerper,BigData,30,22,6,51335.59718,19387.70627,2,Female,73.5
40,Glasses,Search Engine,35,32,3,68270.20345,21260.57407,3,Female,63.3
46,Glasses,AI,39,35,4,106770.4952,22085.61601,1,Male,74.3
62,Glasses,AI,30,22,7,49572.75893,22786.03105,3,Male,70.9
36,Glasses,AI,42,38,3,94201.00487,16249.19168,3,Male,73.4
26,Cheerper,BigData,42,39,3,61371.24762,19613.40699,2,Female,70.4
19,Cheerper,Support,49,41,8,68914.44889,10372.20741,2,Female,79.8
80,Glasses,BigData,38,37,1,40000,22264.59955,3,Female,72
50,Cheerper,Support,36,30,5,40000,9000,5,Male,77
1,Glasses,Search Engine,38,35,3,146775.822,17785.71274,5,Male,76.9
67,Glasses,Design,49,48,1,106727.2198,15269.83964,4,Male,65.8
49,Cheerper,Support,33,28,5,40000,23990.37167,2,Female,68.1
43,Glasses,AI,34,32,2,101044.5733,18105.84716,3,Female,73.3
42,Pear,Sales,49,48,2,130611.4974,15424.00175,2,Female,69.9
8,Cheerper,Search Engine,43,32,9,100092.0102,24792.91,1,Female,72.4
1,Glasses,Search Engine,30,22,4,84419.27524,21444.04045,2,Male,77.8
8,Cheerper,BigData,43,32,9,102554.8046,17775.28547,2,Female,72
80,Cheerper,Support,39,39,1,40000,14324.66509,5,Female,66.1
70,Cheerper,Support,49,48,1,68496.65485,14138.48963,4,Female,67.3
38,Glasses,AI,40,38,3,87552.90585,22873.14011,1,Male,82.5
30,Cheerper,Support,43,35,8,64360.16718,9693.439744,3,Male,72.4
19,Cheerper,Search Engine,40,35,5,111140.8519,12138.90688,4,Female,65.4
25,Pear,Sales,34,27,7,86173.08482,16141.51788,1,Female,63.6
28,Glasses,Design,41,35,7,98698.92071,18448.41379,1,Male,69.7
12,Glasses,Search Engine,33,31,2,115869.1587,13520.96012,5,Female,70
58,Glasses,Search Engine,35,28,7,40000,11023.28121,3,Male,77.3
1,Cheerper,Support,30,22,8,79245.00614,20823.56311,3,Female,76.9
1,Glasses,AI,40,33,7,107027.5837,22826.06385,1,Male,72.8
39,Pear,Design,38,33,5,73548.3751,11975.68824,4,Female,69.8
56,Cheerper,Support,35,25,9,79483.2512,9000,5,Male,74.8
79,Glasses,Search Engine,43,39,4,48283.76308,16460.67502,3,Female,63.3
40,Glasses,AI,35,32,4,110507.1984,16960.41336,4,Male,81.6
38,Glasses,AI,40,37,3,121560.1159,24445.35813,2,Female,74.9
44,Glasses,Design,38,35,3,112654.3162,19937.27721,2,Male,75.8
1,Pear,Sales,36,30,5,130285.9244,12607.31928,3,Male,66.6
40,Pear,Sales,47,47,1,109270.3442,23788.81989,1,Male,77.8
1,Pear,Sales,35,32,2,128278.0717,23988.38929,1,Female,68.7
24,Glasses,AI,34,27,6,101686.5515,18823.53753,3,Female,67.4
49,Glasses,AI,30,23,5,48968.90636,24792.91,1,Male,71.5
4,Glasses,AI,37,29,8,100670.4479,24792.91,1,Female,72.6
40,Glasses,AI,49,47,4,136789.4667,20529.4971,1,Female,67
17,Glasses,Search Engine,36,32,4,66655.43451,22385.85088,1,Female,67.2
76,Cheerper,Support,46,46,1,40000,13656.83616,4,Male,66.4
1,Cheerper,Support,30,22,8,88787.98817,14744.55038,4,Male,67.8
22,Pear,Sales,42,35,7,104514.8159,14886.59832,1,Male,71
6,Glasses,AI,32,26,6,100692.2122,24792.91,1,Female,65.1
8,Glasses,Design,30,22,7,95221.89769,21189.80485,2,Male,68.8
65,Pear,Sales,42,45,1,78242.26408,16577.60896,3,Female,76.3
26,Pear,Sales,49,48,1,126278.4261,16116.1414,3,Male,75.6
47,Pear,Sales,43,40,3,94851.49644,14169.87387,3,Female,66.5
18,Glasses,Search Engine,30,26,3,96929.01586,22737.80985,3,Female,75.9
25,Glasses,Search Engine,30,24,6,73411.80212,19638.07742,2,Male,62.2
54,Cheerper,BigData,46,41,5,84047.09617,13780.16664,3,Female,84.6
29,Pear,Sales,30,22,8,129609.2718,14829.94345,4,Female,79.1
34,Glasses,Search Engine,30,22,5,55266.4145,21975.3651,2,Male,68.9
40,Glasses,Design,38,31,7,82522.40345,20893.94651,1,Male,74.6
1,Glasses,Design,30,23,5,153000,24792.91,1,Female,64.7
40,Pear,Sales,32,29,2,106030.5444,17521.09599,3,Female,71.2
33,Pear,Sales,35,36,1,116891.5896,19012.02974,3,Male,69.8
23,Pear,Design,41,41,1,103299.5806,16711.63599,3,Male,66.9
31,Cheerper,Support,43,37,6,54756.55524,21922.38155,2,Male,70.3
80,Cheerper,Support,30,24,4,40000,19694.35046,3,Male,68.6
1,Glasses,AI,42,37,4,153000,24792.91,1,Male,66.3
1,Glasses,AI,30,29,1,88793.96629,14027.04521,4,Female,66.2
23,Glasses,Design,30,22,7,75909.04411,20513.83672,2,Female,65.1
1,Glasses,Design,30,25,6,153000,24792.91,2,Female,76.3
39,Glasses,AI,30,22,7,52044.37513,20848.24847,2,Male,67.6
71,Cheerper,Support,34,36,1,40000,23101.66001,3,Male,64.6
73,Pear,Sales,35,37,1,60997.69031,22759.84161,3,Male,75
3,Glasses,AI,35,30,5,91443.7208,20287.62968,3,Male,73.8
1,Glasses,Design,38,31,7,153000,14331.78013,3,Female,76.7
9,Pear,Sales,49,48,1,153000,19968.94038,3,Male,76
25,Glasses,AI,30,26,5,74094.85432,24792.91,1,Male,81.4
26,Cheerper,BigData,32,24,8,84612.61045,19059.96665,2,Male,71.9
60,Cheerper,Search Engine,41,34,8,71581.3401,23990.23414,1,Male,65.9
26,Pear,Sales,44,35,8,134066.6951,15446.66981,2,Male,74.6
70,Glasses,Design,40,37,3,54409.46678,20134.52405,1,Male,68.2
1,Glasses,Search Engine,30,22,6,105558.3869,24345.24824,2,Female,67.2
48,Cheerper,Support,41,35,6,40000,17739.00232,2,Male,73
47,Cheerper,Support,41,36,5,40000,23411.91623,1,Male,76.6
54,Glasses,Search Engine,41,38,3,71511.65384,24792.91,1,Male,67.5
61,Glasses,Search Engine,31,24,7,40000,14334.71777,3,Male,78.7
80,Glasses,Search Engine,47,44,2,40000,15825.01195,2,Female,66.7
65,Glasses,AI,49,48,1,82283.78196,9647.818672,4,Male,70.2
36,Glasses,AI,36,32,4,88070.76268,20352.27887,3,Male,73.6
48,Glasses,BigData,42,42,1,56427.17748,16184.71558,3,Male,69.2
58,Glasses,Search Engine,30,22,8,40000,17158.12713,3,Female,63.7
35,Glasses,AI,37,31,5,72995.74195,9000,5,Male,76.7
43,Glasses,AI,39,35,4,65412.47506,14793.71182,2,Male,68.7
68,Cheerper,Support,49,48,2,95223.53568,12532.13635,5,Female,75.5
48,Pear,Design,43,43,1,107521.5749,9000,5,Male,64.8
10,Glasses,Sales,47,46,1,153000,17618.74812,2,Female,65.9
38,Pear,Design,49,48,4,125418.0387,14464.23469,3,Female,76.7
3,Cheerper,BigData,30,22,7,104070.4598,16234.90018,5,Male,74
34,Pear,Sales,41,35,6,113864.0273,22306.06882,1,Female,70.4
37,Cheerper,BigData,49,46,6,75272.12313,23430.0381,1,Female,74.7
37,Cheerper,Support,34,25,8,62169.78024,17153.29592,2,Male,68
1,Pear,Design,30,22,9,123603.7758,17149.90261,4,Male,73.4
56,Cheerper,Support,40,39,1,50693.9242,20370.05739,2,Male,71.6
74,Glasses,Search Engine,49,48,2,56832.32432,17957.11461,3,Female,69.9
28,Cheerper,Support,43,30,9,67504.9316,9000,4,Male,69.4
1,Cheerper,Support,31,26,5,123703.101,18049.54388,4,Female,72.1
1,Glasses,Design,37,30,7,122568.5541,23487.20316,1,Male,72.4
7,Cheerper,Support,36,32,4,93797.69498,15149.57818,4,Male,69.4
11,Glasses,Design,40,33,7,120721.0125,18344.32284,1,Male,67.6
24,Cheerper,Search Engine,42,37,6,106062.8312,9000,4,Female,72.7
57,Cheerper,Search Engine,43,34,9,80242.91047,18557.62203,1,Male,71.2
17,Glasses,AI,33,23,9,91087.02393,17716.79653,3,Male,67.9
25,Cheerper,Support,34,30,4,52729.57839,16362.85565,4,Female,71.8
46,Glasses,AI,49,47,4,108293.4729,12827.89436,3,Male,80.4
31,Cheerper,Support,34,27,7,62027.54403,16721.72134,3,Male,70.7
31,Glasses,AI,35,25,9,69454.0041,19128.80091,1,Male,80.6
56,Cheerper,Support,43,42,2,66244.7513,18812.41248,3,Female,82
1,Glasses,Design,32,23,9,153000,20337.028,1,Male,68.2
43,Pear,Sales,49,48,3,119341.1352,17577.19508,2,Male,72.1
45,Glasses,AI,37,33,4,72323.62016,20420.54329,2,Male,82.3
7,Glasses,AI,33,24,8,123667.9375,16287.42326,3,Female,72.1
26,Cheerper,Support,31,26,5,59663.48151,14596.15637,5,Male,71.9
1,Cheerper,BigData,45,41,4,115433.2277,18173.41795,2,Female,63.8
39,Glasses,BigData,32,29,3,40000,18882.16773,3,Female,68.5
1,Cheerper,BigData,31,22,9,60564.50179,21760.66554,2,Female,75.7
47,Glasses,AI,38,34,5,70059.93274,20889.26334,2,Female,84.2
44,Pear,Design,38,36,2,97340.10547,24792.91,1,Male,70.2
16,Pear,Sales,40,40,1,103625.4252,23373.05206,2,Male,62.7
80,Glasses,AI,35,31,4,68733.24427,9000,5,Female,64.6
62,Glasses,BigData,32,24,7,41623.96632,13630.69751,4,Female,72.2
47,Cheerper,Search Engine,49,48,2,91365.10917,21237.74966,2,Male,77.6
65,Pear,AI,45,47,1,51629.42694,18476.8009,2,Female,74.4
51,Glasses,BigData,37,34,2,40331.19894,20810.41613,3,Male,73.4
3,Glasses,Design,44,35,9,137295.3955,18879.56499,1,Male,80.1
7,Pear,Sales,37,27,9,130419.4548,24792.91,1,Male,69.6
50,Cheerper,BigData,45,40,5,105597.2616,14064.79246,4,Female,72.5
66,Glasses,Search Engine,38,36,2,57630.9673,23536.17035,2,Female,68.6
36,Glasses,Search Engine,47,44,3,68186.79912,20965.03627,1,Female,70.6
1,Pear,Sales,42,36,6,137075.6779,16622.55586,3,Female,67.6
26,Pear,Design,41,38,2,86181.79489,21509.7584,1,Female,69.6
1,Pear,Sales,43,37,5,147493.4819,14821.27478,2,Male,72.2
13,Glasses,AI,40,36,5,124164.3793,13942.73651,3,Female,70.3
1,Pear,Design,39,33,6,124654.526,22056.7535,1,Male,71.6
1,Glasses,Search Engine,30,22,6,120150.9786,15736.50968,3,Male,74
1,Pear,Design,30,22,6,98837.53185,24792.91,2,Male,78.2
10,Pear,Design,32,28,4,98362.42919,24792.91,1,Male,78.1
15,Cheerper,Support,42,39,4,95189.12761,15468.23452,3,Female,75.8
28,Glasses,Design,31,23,7,59673.08342,24792.91,1,Female,66
1,Glasses,Design,41,37,5,152857.7082,24792.91,1,Female,70.4
26,Pear,Sales,47,43,5,136475.6879,24792.91,1,Male,71.2
45,Cheerper,Support,30,22,9,40000,11269.57206,4,Female,69.6
34,Pear,Design,43,38,5,65010.38653,10717.43811,3,Male,74.1
2,Glasses,Search Engine,43,41,2,108457.6291,21096.04929,2,Male,63.5
3,Pear,AI,40,42,1,139316.9208,14861.92808,4,Male,79.5
80,Cheerper,Support,49,48,1,40000,21026.90182,2,Male,77.4
29,Pear,Sales,38,33,5,153000,18106.00866,2,Male,74.5
19,Pear,Design,49,48,1,129473.9964,24318.12018,1,Female,71.1
53,Pear,Sales,37,36,1,83769.87408,15822.38443,3,Male,77
1,Cheerper,Support,36,24,9,120470.225,23652.72729,1,Female,76.6
1,Glasses,AI,31,23,7,128007.9955,21962.93893,3,Female,77.9
30,Glasses,Search Engine,38,30,8,72467.2105,12469.02348,3,Male,72.7
23,Glasses,Search Engine,36,33,4,75563.73963,24792.91,1,Male,80.6
9,Glasses,Search Engine,31,22,9,107540.6103,19582.05147,3,Female,78.8
29,Glasses,Search Engine,36,29,7,78868.41599,24792.91,2,Female,75.1
75,Pear,Design,34,28,6,40000,17921.54578,2,Female,78.5
1,Glasses,AI,32,25,7,101809.8552,15157.34498,3,Female,70.3
13,Glasses,Design,34,23,9,99616.02761,13768.59054,2,Male,67.3
6,Glasses,AI,47,40,7,102565.9125,22090.9932,1,Male,74.8
42,Glasses,AI,49,48,1,101087.6349,15027.83467,4,Female,71.2
31,Glasses,AI,36,33,3,98330.72468,24792.91,1,Female,70.4
61,Pear,Sales,33,27,6,63759.32936,18293.41227,2,Male,78.2
9,Glasses,AI,40,32,8,111724.3838,16011.1588,2,Male,73.9
74,Cheerper,Support,30,26,4,40210.2957,19538.45826,3,Female,72.7
20,Pear,Sales,41,38,3,129126.5552,19398.92898,2,Male,70
31,Glasses,Search Engine,48,42,5,101725.4419,20794.16422,1,Female,77
58,Cheerper,BigData,44,39,5,51909.43144,20768.6643,2,Male,75.9
40,Cheerper,Support,44,39,5,65721.52547,10010.61533,4,Male,76.8
1,Pear,Sales,30,22,7,133606.9487,12395.44415,4,Male,69.8
10,Glasses,AI,37,32,5,91599.47265,9817.571499,4,Male,78.6
36,Glasses,AI,41,40,1,64787.00743,24792.91,1,Male,80.2
68,Glasses,AI,38,30,8,77304.56084,15550.70791,3,Female,77.2
72,Glasses,Search Engine,46,45,1,57324.34478,14386.57091,2,Male,67.2
28,Cheerper,BigData,36,28,8,54565.36959,20659.90917,2,Male,68.9
49,Glasses,AI,49,48,4,79697.97284,17462.64054,1,Female,70.5
27,Glasses,Search Engine,45,42,3,104759.5286,14021.40893,3,Male,69
8,Pear,Sales,36,31,4,111365.0189,15294.14034,3,Male,71.3
54,Glasses,AI,44,42,2,93755.07241,14876.88433,3,Male,74.7
1,Cheerper,Support,30,22,9,71027.30619,23013.88351,2,Female,74.3
68,Glasses,AI,47,44,3,81141.54503,15812.52271,2,Female,73
33,Glasses,AI,44,42,2,86098.79301,19967.64313,1,Female,70.3
27,Glasses,Search Engine,37,32,5,63962.02403,18394.77238,2,Male,71.7
